date,quote e,quote c,author
12-03,Discipline is choosing between what you want now and what you want most.,「自律是在『現在想要』與『最想要』之間做選擇。」,Abraham Lincoln
12-04,"Do one thing at a time, and do it well.",「一次做好一件事。」,Steve Jobs
12-05,"Every day may not be good, but there is something good in every day.",「每天不一定都好，但每天都有好事。」,Alice Morse Earle
12-06,Nothing worth having comes easy.,「值得擁有的，從不容易。」,Theodore Roosevelt
12-07,Start each day with a grateful heart.,「每天用感恩的心開始。」,Roy T. Bennett
12-08,"Your mind is a powerful thing. When you fill it with positive thoughts, your life will start to change.",「你的心很強大，當你充滿正向想法，人生就會改變。」,Unknown
12-09,The difference between who you are and who you want to be is what you do.,「你現在的你與理想的你，差別在你做了什麼。」,Unknown
12-10,Don’t stop when you’re tired. Stop when you’re done.,「累了別停，做完再停。」,Unknown
12-11,Success is the child of audacity.,「成功是大膽的孩子。」,Benjamin Disraeli
12-12,Be kind to yourself. You’re doing the best you can.,「對自己好一點，你已經盡力了。」,Unknown
12-13,Life becomes easier when you learn to accept the apology you never got.,「當你學會接受那句沒等到的道歉，生活就輕鬆了。」,Unknown
12-14,Go confidently in the direction of your dreams.,「自信地朝夢想前進。」,Henry David Thoreau
12-15,Things work out best for those who make the best of how things work out.,「把局面做到最好的人，往往得到最好的結果。」,John Wooden
12-16,Do not be afraid of growing slowly; be afraid only of standing still.,「不怕走得慢，只怕停下來。」,Chinese Proverb
12-17,"Success is a mindset. If you want success, start thinking of yourself as a success.",「成功是一種心態，想成功，就先把自己當成成功的人。」,Joyce Brothers
12-18,"You don’t have to see the whole staircase, just take the first step.",「你不必看見整個樓梯，只要踏出第一步。」,Martin Luther King Jr.
12-19,Opportunities are usually disguised as hard work.,「機會常常偽裝成辛苦的工作。」,Thomas Edison
12-20,One day you will thank yourself for not giving up.,「有一天你會感謝自己沒有放棄。」,Unknown
12-21,"The more you praise and celebrate your life, the more there is in life to celebrate.",「你越讚美與珍惜生活，生活就越有值得慶祝的事。」,Oprah Winfrey
12-22,"Success doesn’t come from what you do occasionally, it comes from what you do consistently.",「成功不是偶爾為之，而是持續為之。」,Marie Forleo
12-23,Do it with passion or not at all.,「要嘛熱情去做，要嘛別做。」,Unknown
12-24,"Stay positive, better days are on their way.",「保持正向，更好的日子正在來。」,Unknown
12-25,The best project you’ll ever work on is you.,「你一生最重要的作品，就是你自己。」,Unknown
12-26,Your life is as good as your mindset.,「你的生活好不好，取決於你的心態。」,Unknown
12-27,Dreams don’t work unless you do.,「夢想不會自己實現，除非你去做。」,John C. Maxwell
12-28,"Success is a journey, not a destination.",「成功是一段旅程，不是終點。」,Ben Sweetland
12-29,Keep going. Everything you need will come to you at the perfect time.,「繼續走，你需要的一切會在對的時候到來。」,Unknown
12-30,Do not wait for opportunity. Create it.,「別等機會，去創造它。」,George Bernard Shaw
12-31,"The key to success is to focus on goals, not obstacles.",「成功的關鍵，是專注目標而非障礙。」,Unknown
