subject,word,pos,meaning,sentence e,sentence c
行銷 (Marketing),market penetration,n.,市場滲透,Market penetration refers to the strategy of increasing sales of current products in existing markets.,市場滲透是指在現有市場中增加當前產品銷售額的策略。
行銷 (Marketing),marketing mix,n.,行銷組合 (4p),"The marketing mix includes product, price, place, and promotion—the 4Ps of marketing.",行銷組合包含產品、價格、通路與推廣，即行銷的4P。
行銷 (Marketing),niche market,n.,分眾市場；小眾市場,"A niche market is a small, specialized segment of the population for a particular product.",小眾市場是針對特定產品的人群中一個小型、專業的細分部分。
行銷 (Marketing),search engine optimization,n.,搜尋引擎優化 (seo),SEO improves a website's visibility in organic search results.,搜尋引擎優化提升網站在自然搜尋結果中的可見度。
行銷 (Marketing),segmentation,n.,市場細分,Market segmentation involves dividing a broad target market into subsets of consumers.,市場細分涉及將廣大的目標市場劃分為消費者的子群體。
行銷 (Marketing),value proposition,n.,價值主張,A value proposition explains why a customer should choose one product over another.,價值主張解釋顧客為何應選擇某一產品而非其他。
財務 (Finance),capital gain,n.,資本利得,A capital gain is the profit earned from the sale of an asset that has increased in value.,資本利得是透過出售增值資產所賺取的利潤。
財務 (Finance),capital structure,n.,資本結構,Capital structure refers to the mix of debt and equity used to finance a company.,資本結構指用於融資公司的債務與權益組合。
財務 (Finance),cost of capital,n.,資本成本,The cost of capital is the minimum return a company must earn to satisfy its investors.,資本成本是公司為滿足投資者必須獲得的最低報酬。
財務 (Finance),diversification,n.,分散投資,Diversification reduces risk by investing in a variety of assets.,分散投資透過投資多種資產來降低風險。
財務 (Finance),dividend,n.,股利；紅利,A dividend is a portion of a company's earnings distributed to its shareholders.,股利是公司利潤中分配給股東的一部分。
財務 (Finance),expenditure,n.,支出；花費,The company plans to reduce its capital expenditure for the next fiscal year.,公司計劃減少下一個財政年度的資本支出。
財務 (Finance),financial ratio,n.,財務比率,"Financial ratios help evaluate a company's liquidity, profitability, and solvency.",財務比率有助於評估公司的流動性、獲利能力與償債能力。
財務 (Finance),hedge fund,n.,避險基金,A hedge fund is an investment fund that uses diverse strategies to earn high returns for its clients.,避險基金是一種利用多樣化策略為客戶賺取高報酬的投資基金。
財務 (Finance),hedging,n.,避險,Hedging uses financial instruments to offset potential losses in an investment.,避險運用金融工具來抵消投資的潛在損失。
財務 (Finance),internal rate of return,n.,內部報酬率 (irr),IRR is the discount rate that makes the NPV of an investment equal to zero.,內部報酬率是使投資淨現值等於零的折現率。
財務 (Finance),liquidity,n.,流動性,Liquidity refers to the ease with which an asset can be converted into ready cash without affecting its market price.,流動性是指資產在不影響其市場價格的情況下轉換為現成現金的難易程度。
財務 (Finance),net present value,n.,淨現值 (npv),NPV calculates the present value of future cash flows minus the initial investment.,淨現值計算未來現金流的現值減去初始投資。
財務 (Finance),portfolio,n.,投資組合,Diversifying your investment portfolio can help minimize financial risks.,分散你的投資組合有助於將財務風險降至最低。
財務 (Finance),purchasing power,n.,購買力,Inflation can erode the purchasing power of consumers over time.,通貨膨脹會隨著時間侵蝕消費者的購買力。
財務 (Finance),return on investment,n.,投資報酬率 (roi),Return on investment is a performance measure used to evaluate the efficiency of an investment.,投資報酬率是用於評估投資效率的一種績效衡量標準。
財務 (Finance),weighted average cost of capital,n.,加權平均資本成本 (wacc),WACC represents the average rate a company expects to pay to finance its assets.,加權平均資本成本代表公司預期為融資資產所支付的平均利率。
財務 (Finance),working capital,n.,營運資金,Working capital is the difference between current assets and current liabilities.,營運資金是流動資產與流動負債之間的差額。
金融  Finance,anti-money laundering,n.,反洗錢,Anti-money laundering (AML) policies require banks to report suspicious transactions.,反洗錢政策要求銀行通報可疑交易。
金融  Finance,audit,n.,審計；查核,An independent audit verifies the accuracy and fairness of financial statements.,獨立審計驗證財務報表的準確性與公允性。
金融  Finance,balance sheet,n.,資產負債表,"A balance sheet shows a company's assets, liabilities, and shareholders' equity at a point in time.",資產負債表顯示公司在特定時點的資產、負債與股東權益。
金融  Finance,bear market,n.,空頭市場；熊市,"A bear market occurs when prices fall 20% or more from recent highs, often accompanied by pessimism.",空頭市場發生在價格從近期高點下跌 20% 或以上時，通常伴隨悲觀情緒。
金融  Finance,bond,n.,債券,A bond is a debt security where investors lend money to an entity for a fixed return.,債券是一種債務證券，投資人將資金借給發行方以換取固定報酬。
金融  Finance,bull market,n.,多頭市場；牛市,A bull market is characterized by rising prices and investor optimism.,多頭市場的特徵是價格上漲與投資人樂觀情緒。
金融  Finance,cash flow,n.,現金流,Positive cash flow means a company generates more cash than it spends on operations.,正向現金流意味著公司營運產生的現金多於其支出。
金融  Finance,compliance,n.,合規；遵循,Financial compliance ensures that institutions follow laws and regulations to prevent fraud.,金融合規確保機構遵循法律與法規以防止詐欺。
金融  Finance,derivative,n.,衍生性金融商品,Derivatives are financial contracts whose value is derived from an underlying asset like stocks or commodities.,衍生性金融商品是其價值源自股票或商品等基礎資產的金融合約。
金融  Finance,EPS,n.,每股盈餘,EPS (Earnings Per Share) indicates how much profit a company generates for each outstanding share.,每股盈餘顯示公司為每股流通股創造的利潤金額。
金融  Finance,ETF,n.,指數股票型基金 (交易型開放式指數基金),"An ETF tracks an index, commodity, or basket of assets and trades like a stock on an exchange.",指數股票型基金追蹤指數、商品或一籃子資產，並像股票一樣在交易所交易。
金融  Finance,income statement,n.,損益表,"An income statement reports a company's revenues, expenses, and net income over a period.",損益表報告公司在一段期間內的收入、費用與淨利。
金融  Finance,KYC,n.,了解你的客戶,KYC (Know Your Customer) procedures verify the identity of clients to prevent financial crime.,了解你的客戶程序用於驗證客戶身分以防止金融犯罪。
金融  Finance,liquidity,n.,流動性,Liquidity refers to how quickly an asset can be converted to cash without significant price loss.,流動性指資產能在不造成顯著價格損失的情況下轉換為現金的速度。
金融  Finance,mutual fund,n.,共同基金,A mutual fund pools money from many investors to purchase a diversified portfolio of stocks and bonds.,共同基金匯集眾多投資人的資金，購買多元化的股票與債券投資組合。
金融  Finance,P/E ratio,n.,本益比,The P/E ratio compares a company's current share price to its earnings per share.,本益比比較公司當前股價與每股盈餘。
金融  Finance,ROI,n.,投資報酬率,ROI (Return on Investment) measures the profitability of an investment relative to its cost.,投資報酬率衡量投資相對於其成本的獲利能力。
金融  Finance,stock,n.,股票,Buying stock means purchasing a share of ownership in a publicly traded company.,購買股票意味著購入一家上市公司的一部分所有權。
金融  Finance,volatility,n.,波動性,High volatility means asset prices can change dramatically in a short period.,高波動性意味著資產價格可能在短時間內大幅變動。
銀行 Banking,APR,n.,年利率 (含費用),"APR (Annual Percentage Rate) includes both interest and fees, giving a true cost of borrowing.",年利率 (含費用) 包含利息與手續費，反映借貸的真實成本。
銀行 Banking,branch,n.,分行,You can visit any branch of the bank to access your account services.,您可前往該銀行的任何分行使用帳戶服務。
銀行 Banking,central bank,n.,中央銀行,The central bank sets monetary policy and regulates the nation's banking system.,中央銀行制定貨幣政策並監管該國的銀行體系。
銀行 Banking,checking account,n.,支票帳戶；活期存款帳戶,A checking account allows you to write checks and use a debit card for daily transactions.,支票帳戶讓您可以開立支票並使用金融卡進行日常交易。
銀行 Banking,clearing,n.,票據交換；清算,Check clearing is the process of transferring funds from the payer's bank to the payee's bank.,票據交換是將資金從付款人銀行轉移至收款人銀行的過程。
銀行 Banking,collateral,n.,擔保品；抵押品,Collateral is an asset pledged to secure a loan in case of default.,擔保品是借款人承諾在違約時用以償還貸款的資產。
銀行 Banking,credit line,n.,信用貸款額度,A credit line provides flexible access to funds up to a pre-approved limit.,信用貸款額度提供在預先核准上限內彈性動用資金的管道。
銀行 Banking,credit rating,n.,信用評等,Banks assess a company's credit rating before approving a large business loan.,銀行在核准大額企業貸款前會評估該公司的信用評等。
銀行 Banking,credit score,n.,信用評分,A higher credit score can help you qualify for lower interest rates on loans.,較高的信用評分能幫助您獲得較低的貸款利率。
銀行 Banking,direct deposit,n.,直接入帳,Many employers use direct deposit to pay salaries into employees' bank accounts.,許多雇主使用直接入帳方式將薪資存入員工銀行帳戶。
銀行 Banking,interest rate,n.,利率,The interest rate on a loan determines how much extra you pay beyond the principal.,貸款利率決定您除了本金外需額外支付的金額。
銀行 Banking,money market account,n.,貨幣市場帳戶,A money market account combines features of checking and savings accounts with competitive interest rates.,貨幣市場帳戶結合支票與儲蓄帳戶的特點，並提供具競爭力的利率。
銀行 Banking,mortgage,n.,房屋貸款；抵押貸款,"A mortgage is a long-term loan used to purchase real estate, with the property serving as collateral.",房屋貸款是用於購買不動產的長期貸款，以該房產作為擔保品。
銀行 Banking,online banking,n.,網路銀行,"Online banking allows customers to manage accounts, pay bills, and transfer funds 24/7.",網路銀行讓客戶能全天候管理帳戶、繳納帳單與轉帳。
銀行 Banking,overdraft,n.,透支,An overdraft occurs when you withdraw more money than is available in your account.,透支發生在您提取的金額超過帳戶可用餘額時。
銀行 Banking,personal loan,n.,個人信用貸款,Personal loans are unsecured and can be used for various purposes like debt consolidation or home improvement.,個人信用貸款無需擔保，可用於債務整合或房屋修繕等多種用途。
銀行 Banking,savings account,n.,儲蓄帳戶,A savings account earns interest but may have limits on monthly withdrawals.,儲蓄帳戶可賺取利息，但可能限制每月提款次數。
銀行 Banking,teller,n.,銀行行員；櫃檯人員,The bank teller helped the customer deposit a check and update account information.,銀行行員協助客戶存入支票並更新帳戶資訊。
銀行 Banking,time deposit,n.,定期存款,Time deposits offer higher interest rates in exchange for locking funds for a fixed term.,定期存款提供較高利率，以換取資金在固定期間內不得動用。
銀行 Banking,wire transfer,n.,電匯,International wire transfers typically take 1-3 business days to complete.,國際電匯通常需要 1-3 個工作天完成。
