subject,word,pos,meaning,sentence e,sentence c,
Law 法律,criminal law,n.,刑法,Criminal law defines offenses against society and prescribes punishments for violations.,刑法定義危害社會的犯罪行為，並規定違犯的懲罰。,
Law 法律,common law,n.,普通法,Common law develops through judicial decisions rather than legislative statutes.,普通法透過司法判決而非立法法規發展而成。,
Law 法律,statutory law,n.,成文法,Statutory law consists of written laws enacted by legislative bodies.,成文法由立法機關制定的書面法律組成。,
Law 法律,due process,n.,正當程序,Due process ensures that legal proceedings are fair and follow established rules.,正當程序確保法律程序公平並遵循既定規則。,
Law 法律,habeas corpus,n.,人身保護令,Habeas corpus protects individuals from unlawful detention by requiring justification for imprisonment.,人身保護令透過要求說明監禁理由，保護個人免受非法拘禁。,
Law 法律,injunction,n.,禁制令,An injunction is a court order that requires a party to do or refrain from doing a specific act.,禁制令是法院命令，要求當事人作為或不作為特定行為。,
Law 法律,liability,n.,法律責任,Liability refers to legal responsibility for one's actions or omissions.,法律責任指個人對其行為或不作為所負的法律責任。,
Law 法律,tort,n.,侵權行為,"A tort is a civil wrong that causes harm, for which the injured party may seek compensation.",侵權行為是造成損害的民事不法行為，受害方可據此尋求賠償。,
Law 法律,felony,n.,重罪,A felony is a serious crime punishable by imprisonment for more than one year.,重罪是嚴重犯罪，可處以一年以上監禁。,
Law 法律,misdemeanor,n.,輕罪,A misdemeanor is a minor offense typically punishable by fines or short-term imprisonment.,輕罪是較輕微的違法行為，通常處以罰款或短期監禁。,
Law 法律,litigation,n.,訴訟,Litigation is the process of taking legal action to resolve a dispute through the court system.,訴訟是透過法院系統解決爭議的法律程序。,
Law 法律,prosecution,n.,檢察；起訴,The prosecution presents evidence to prove the defendant's guilt in a criminal case.,檢察方在刑事案件中提出證據以證明被告有罪。,
Law 法律,defense,n.,辯護,The defense attorney works to protect the rights of the accused and challenge the prosecution's case.,辯護律師致力於保護被告權利並質疑檢察方的指控。,
Law 法律,acquittal,n.,無罪判決,An acquittal means the defendant has been found not guilty of the charges.,無罪判決表示被告被裁定對指控無罪。,
Law 法律,conviction,n.,有罪判決,A conviction results when a defendant is found guilty beyond a reasonable doubt.,當被告被證明有罪且無合理懷疑時，即產生有罪判決。,
Law 法律,sentencing,n.,量刑,Sentencing determines the appropriate punishment for a convicted offender.,量刑決定對已定罪違法者的適當懲罰。,
Law 法律,parole,n.,假釋,Parole allows a prisoner to serve the remainder of their sentence under community supervision.,假釋允許囚犯在社區監督下服完剩餘刑期。,
Law 法律,probation,n.,緩刑,Probation is an alternative to imprisonment that requires offenders to follow specific conditions.,緩刑是監禁的替代方案，要求違法者遵守特定條件。,
Law 法律,subpoena,n.,傳票,A subpoena is a legal document that compels a witness to appear in court or produce evidence.,傳票是法律文件，強制證人出庭或提供證據。,
Law 法律,affidavit,n.,宣誓書,"An affidavit is a written statement confirmed by oath, used as evidence in legal proceedings.",宣誓書是經宣誓確認的書面陳述，用作法律程序中的證據。,
Law 法律,deposition,n.,證詞錄取,"A deposition is sworn testimony given outside of court, often used during discovery.",證詞錄取是在法庭外進行的宣誓證詞，常用於證據開示階段。,
Law 法律,discovery,n.,證據開示,Discovery is the pre-trial process where parties exchange information and evidence.,證據開示是審判前雙方交換資訊與證據的程序。,
Law 法律,burden of proof,n.,舉證責任,The burden of proof requires the prosecution to establish guilt beyond a reasonable doubt.,舉證責任要求檢察方證明被告有罪且無合理懷疑。,
Law 法律,presumption of innocence,n.,無罪推定,The presumption of innocence means a defendant is considered innocent until proven guilty.,無罪推定意指被告在被證明有罪之前視為無罪。,
Law 法律,rule of law,n.,法治,"The rule of law ensures that no one, including leaders, is above the law.",法治確保包括領導人在內的任何人都不能凌駕於法律之上。,
Law 法律,separation of powers,n.,三權分立,"Separation of powers divides government into legislative, executive, and judicial branches.",三權分立將政府分為立法、行政與司法三個部門。,
Law 法律,judicial review,n.,司法審查,Judicial review allows courts to examine whether laws or government actions comply with the constitution.,司法審查允許法院檢視法律或政府行為是否符合憲法。,
Law 法律,stare decisis,n.,遵循先例,Stare decisis is the legal principle of following precedent to ensure consistency in rulings.,遵循先例是法律原則，要求遵循判例以確保裁決一致性。,
Law 法律,mens rea,n.,犯罪意圖,Mens rea refers to the mental state or intent required to commit a crime.,犯罪意圖指構成犯罪所需的主觀心態或意圖。,
Law 法律,actus reus,n.,犯罪行為,Actus reus is the physical act or unlawful omission that constitutes a criminal offense.,犯罪行為指構成刑事犯罪的實際行為或不作為。,
Ethics 倫理,right,adj.,正確的,Doing the right thing often requires courage and moral reflection.,做正確的事通常需要勇氣與道德反思。,
Ethics 倫理,wrong,adj.,錯誤的,Recognizing wrong actions is the first step toward ethical improvement.,辨識錯誤行為是邁向道德提升的第一步。,
Ethics 倫理,good,adj.,好的,Good decisions consider both consequences and principles.,好的決策同時考量後果與原則。,
Ethics 倫理,bad,adj.,壞的,Bad outcomes may result from well-intentioned but poorly reasoned choices.,壞的結果可能源於善意但推理不當的選擇。,
Ethics 倫理,fair,adj.,公平的,Fair treatment means giving everyone equal consideration regardless of background.,公平對待意指不分背景，給予每個人同等考量。,
Ethics 倫理,honest,adj.,誠實的,Honest communication builds trust and strengthens relationships.,誠實溝通能建立信任並強化人際關係。,
Ethics 倫理,responsibility,n.,責任,Responsibility means being accountable for one's actions and their consequences.,責任意指對自身行為及其後果負責。,
Ethics 倫理,morality,n.,道德,Morality involves principles concerning the distinction between right and wrong.,道德涉及關於對錯區分的原則。,
Ethics 倫理,virtue,n.,美德,Honesty and courage are examples of important virtues.,誠實和勇氣是重要美德的例子。,
Ethics 倫理,duty,n.,義務,Duty refers to moral or legal obligations that guide our behavior.,義務指引導我們行為的道德或法律責任。,
Ethics 倫理,consequence,n.,後果,Ethical decisions require careful consideration of potential consequences.,道德決策需要仔細考量潛在後果。,
Ethics 倫理,principle,n.,原則,Principles provide consistent standards for evaluating ethical dilemmas.,原則為評估倫理兩難提供一致的標準。,
Ethics 倫理,value,n.,價值,Values shape our priorities and influence how we treat others.,價值觀塑造我們的優先順序，並影響我們對待他人的方式。,
Ethics 倫理,integrity,n.,誠信,Integrity means acting in accordance with one's moral principles even when unobserved.,誠信意指即使無人監督，仍依道德原則行事。,
Ethics 倫理,empathy,n.,同理心,Empathy allows us to understand and share the feelings of others.,同理心使我們能夠理解並分享他人的感受。,
Ethics 倫理,compassion,n.,慈悲,Compassion motivates us to alleviate suffering and promote well-being.,慈悲激勵我們減輕痛苦並促進福祉。,
Ethics 倫理,respect,n.,尊重,Respect for human dignity is foundational to ethical relationships.,尊重人的尊嚴是倫理關係的基礎。,
Ethics 倫理,utilitarianism,n.,功利主義,Utilitarianism promotes actions that provide the greatest good for the greatest number.,功利主義提倡能為最大多數人提供最大利益的行動。,
Ethics 倫理,deontology,n.,義務論,Deontology emphasizes following moral rules and duties regardless of outcomes.,義務論強調遵循道德規則與義務，不論結果如何。,
Ethics 倫理,virtue ethics,n.,美德倫理,Virtue ethics focuses on developing good character traits rather than following specific rules.,美德倫理專注於培養良好品格特質，而非遵循特定規則。,
Ethics 倫理,bioethics,n.,生命倫理,Bioethics examines moral issues arising from advances in medicine and biology.,生命倫理探討醫學與生物學進展所產生的道德議題。,
Ethics 倫理,environmental ethics,n.,環境倫理,Environmental ethics considers our moral responsibilities toward nature and future generations.,環境倫理探討我們對自然與後代的道德責任。,
Ethics 倫理,business ethics,n.,商業倫理,Business ethics guides organizations to operate with integrity and social responsibility.,商業倫理引導組織以誠信與社會責任營運。,
Ethics 倫理,medical ethics,n.,醫學倫理,"Medical ethics addresses dilemmas in healthcare, such as patient autonomy and resource allocation.",醫學倫理探討醫療領域的兩難，如病人自主權與資源分配。,
Ethics 倫理,research ethics,n.,研究倫理,Research ethics ensures that studies protect participants' rights and welfare.,研究倫理確保研究保護參與者的權利與福祉。,
Ethics 倫理,informed consent,n.,知情同意,Informed consent requires that participants fully understand the risks before joining research.,知情同意要求參與者在加入研究前充分理解相關風險。,
Ethics 倫理,algorithmic bias,n.,演算法偏見,Algorithmic bias occurs when AI systems reflect human prejudices in their decisions.,演算法偏見發生於人工智慧系統在決策中反映人類偏見時。,
Ethics 倫理,data privacy,n.,數據隱私,Data privacy protects individuals' personal information from unauthorized access and use.,數據隱私保護個人資訊免受未經授權的存取與使用。,
Ethics 倫理,digital ethics,n.,數位倫理,"Digital ethics addresses moral questions about technology use, online behavior, and information integrity.",數位倫理探討科技使用、網路行為與資訊完整性的道德問題。,
Ethics 倫理,AI ethics,n.,人工智慧倫理,AI ethics examines how artificial intelligence should be designed and deployed responsibly.,人工智慧倫理探討人工智慧應如何負責任地設計與部署。,
Ethics 倫理,genetic engineering ethics,n.,基因工程倫理,Genetic engineering ethics considers the moral implications of modifying human DNA.,基因工程倫理探討修改人類基因的道德意涵。,
Ethics 倫理,transhumanism,n.,超人類主義,Transhumanism advocates using technology to enhance human physical and cognitive abilities.,超人類主義主張運用科技增強人類的身體與認知能力。,
Ethics 倫理,dual-use technology,n.,雙重用途技術,"Dual-use technology can serve both civilian and military purposes, creating ethical dilemmas.",雙重用途技術可同時服務民用與軍事目的，因而產生倫理兩難。,
Ethics 倫理,responsible innovation,n.,負責任創新,Responsible innovation ensures that new technologies align with societal values and ethical standards.,負責任創新確保新科技符合社會價值與倫理標準。,
Ethics 倫理,precautionary principle,n.,預防原則,The precautionary principle advises caution when scientific uncertainty surrounds environmental risks.,預防原則建議在環境風險存在科學不確定性時採取謹慎態度。,
Ethics 倫理,intergenerational equity,n.,代際公平,Intergenerational equity means ensuring fairness between present and future generations.,代際公平意指確保當代與後代之間的公平性。,
Ethics 倫理,climate justice,n.,氣候正義,Climate justice demands that wealthy nations bear greater responsibility for emissions.,氣候正義要求富裕國家為碳排放承擔更大責任。,
Ethics 倫理,environmental justice,n.,環境正義,Environmental justice ensures that no community bears disproportionate environmental burdens.,環境正義確保沒有任何社區承受不成比例的環境負擔。,
Ethics 倫理,animal ethics,n.,動物倫理,Animal ethics examines our moral obligations toward non-human animals.,動物倫理探討我們對非人類動物的道德義務。,
Ethics 倫理,professional ethics,n.,專業倫理,Professional ethics guides practitioners to uphold standards of competence and integrity.,專業倫理引導從業人員維持專業能力與誠信的標準。,
Ethics 倫理,ethical relativism,n.,倫理相對主義,Ethical relativism holds that moral judgments depend on cultural or personal perspectives.,倫理相對主義認為道德判斷取決於文化或個人觀點。,
Ethics 倫理,ethical universalism,n.,倫理普遍主義,Ethical universalism asserts that certain moral principles apply to all people regardless of culture.,倫理普遍主義主張某些道德原則適用於所有人，不分文化。,
Ethics 倫理,moral dilemma,n.,道德兩難,A moral dilemma arises when competing ethical principles make a clear choice difficult.,道德兩難發生於相互衝突的倫理原則使明確選擇變得困難時。,
Ethics 倫理,moral reasoning,n.,道德推理,Moral reasoning involves applying ethical principles to analyze and resolve complex situations.,道德推理涉及運用倫理原則分析並解決複雜情境。,
Ethics 倫理,ethical framework,n.,倫理框架,An ethical framework provides structured guidance for making consistent moral decisions.,倫理框架為做出一致的道德決策提供結構化指引。,
